C.D.S.  -  SIMBAD4 rel 1.8  -  2024.10.10CEST17:08:04

m13
---

Number of objects : 1909

 #  ;dist(asec);typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;  spec. type   ;#bib;#not
----;----------;-----------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------;----;----
387 ;     58.11;m13        ;NGC 6205 448                       ;*  ;16 41 39.20 +36 28 30.9                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
388 ;     58.16;m13        ;NGC 6205 1131                      ;*  ;16 41 40.03 +36 28 35.6                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
389 ;     58.19;m13        ;NGC 6205 792                       ;*  ;16 41 45.96 +36 28 06.5                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
390 ;     58.23;m13        ;NGC 6205 741                       ;*  ;16 41 44.92 +36 28 23.4                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
391 ;     58.23;m13        ;NGC 6205 755                       ;*  ;16 41 45.20 +36 28 20.0                ;     ~   ;15.27    ;14.39    ;     ~   ;     ~   ;~              ;   2;   0
392 ;     58.28;m13        ;Cl* NGC 6205 FPF 31930             ;*  ;16 41 43.98 +36 26 49.8                ;     ~   ;     ~   ;21.508   ;     ~   ;     ~   ;~              ;   1;   0
393 ;     58.31;m13        ;NGC 6205 625                       ;*  ;16 41 42.46 +36 28 38.2                ;     ~   ;15.44    ;14.63    ;     ~   ;     ~   ;~              ;   2;   0
394 ;     58.42;m13        ;NGC 6205 652                       ;*  ;16 41 43.08 +36 26 45.0                ;     ~   ;15.55    ;14.74    ;     ~   ;     ~   ;~              ;   2;   0
395 ;     58.57;m13        ;NGC 6205 587                       ;*  ;16 41 41.77 +36 28 39.3                ;     ~   ;15.66    ;14.99    ;     ~   ;     ~   ;~              ;   2;   0
396 ;     58.84;m13        ;NGC 6205 819                       ;*  ;16 41 46.50 +36 27 44.7                ;     ~   ;14.00    ;13.87    ;     ~   ;     ~   ;~              ;   4;   0
397 ;     58.86;m13        ;NGC 6205 521                       ;*  ;16 41 40.61 +36 26 43.2                ;     ~   ;15.42    ;14.61    ;     ~   ;     ~   ;~              ;   2;   0
398 ;     58.99;m13        ;NGC 6205 694                       ;*  ;16 41 43.92 +36 26 48.6                ;     ~   ;15.61    ;14.93    ;     ~   ;     ~   ;~              ;   2;   0
399 ;     59.16;m13        ;NGC 6205 349                       ;*  ;16 41 37.29 +36 28 08.2                ;     ~   ;     ~   ;13.96    ;     ~   ;     ~   ;~              ;   2;   0
400 ;     59.20;m13        ;NGC 6205 805                       ;*  ;16 41 46.30 +36 27 59.1                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
401 ;     59.70;m13        ;NGC 6205 479                       ;*  ;16 41 39.76 +36 28 36.0                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
402 ;     59.82;m13        ;NGC 6205 802                       ;*  ;16 41 46.17 +36 27 16.6                ;     ~   ;14.92    ;13.97    ;     ~   ;     ~   ;~              ;   3;   0
403 ;     59.84;m13        ;NGC 6205 1135                      ;*  ;16 41 45.63 +36 27 05.3                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
404 ;     59.88;m13        ;[SWL2011] X13                      ;X  ;16 41 46.283 +36 28 01.74              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
405 ;     59.90;m13        ;NGC 6205 816                       ;WV*;16 41 46.4819241696 +36 27 27.821090052;     ~   ;14.53    ;14.09    ;     ~   ;     ~   ;A2             ;  33;   0
406 ;     60.06;m13        ;NGC 6205 717                       ;*  ;16 41 44.27 +36 28 31.7                ;     ~   ;15.06    ;14.95    ;     ~   ;     ~   ;~              ;   4;   0
407 ;     60.59;m13        ;NGC 6205 459                       ;*  ;16 41 39.43 +36 28 35.2                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
408 ;     60.80;m13        ;NGC 6205 797                       ;*  ;16 41 46.03 +36 28 10.5                ;     ~   ;15.30    ;14.66    ;     ~   ;     ~   ;~              ;   2;   0
409 ;     61.03;m13        ;NGC 6205 779                       ;*  ;16 41 45.59 +36 28 18.8                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
410 ;     61.34;m13        ;NGC 6205 325                       ;*  ;16 41 36.62 +36 27 30.6                ;     ~   ;15.62    ;14.88    ;     ~   ;     ~   ;~              ;   2;   0
411 ;     61.36;m13        ;[SWL2011] X14                      ;X  ;16 41 42.775 +36 28 40.55              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
412 ;     61.83;m13        ;NGC 6205 616                       ;*  ;16 41 42.20 +36 28 42.2                ;     ~   ;15.07    ;14.95    ;     ~   ;     ~   ;~              ;   2;   0
413 ;     61.94;m13        ;NGC 6205 562                       ;*  ;16 41 41.36 +36 26 38.9                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
414 ;     61.96;m13        ;NGC 6205 502                       ;*  ;16 41 40.16 +36 28 40.1                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
415 ;     62.41;m13        ;Cl* NGC 6205 GBF 10848             ;V* ;16 41 40.01 +36 26 41.5                ;     ~   ;13.80    ;12.51    ;     ~   ;     ~   ;G2             ;  12;   0
416 ;     62.66;m13        ;NGC 6205 343                       ;*  ;16 41 37.0734032976 +36 27 10.777338828;     ~   ;     ~   ;13.07    ;     ~   ;     ~   ;~              ;   7;   0
417 ;     62.71;m13        ;NGC 6205 636                       ;*  ;16 41 42.63 +36 28 42.3                ;     ~   ;14.97    ;13.95    ;     ~   ;     ~   ;~              ;   2;   0
418 ;     62.72;m13        ;NGC 6205 670                       ;*  ;16 41 43.34 +36 28 40.0                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
419 ;     63.18;m13        ;2MASS J16413666+3627207            ;RG*;16 41 36.667 +36 27 20.73              ;     ~   ;14.53    ;13.78    ;     ~   ;     ~   ;~              ;  11;   0
420 ;     63.44;m13        ;NGC 6205 623                       ;*  ;16 41 42.56 +36 26 38.3                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
421 ;     63.45;m13        ;[GBW2003b] J164137.9+362826.3      ;X  ;16 41 37.93 +36 28 25.8                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
422 ;     63.54;m13        ;XMMU J164146.8+362729              ;X  ;16 41 46.838 +36 27 30.93              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
423 ;     63.59;m13        ;NGC 6205 398                       ;*  ;16 41 38.31 +36 28 30.1                ;     ~   ;     ~   ;12.60    ;     ~   ;     ~   ;~              ;   8;   0
424 ;     63.71;m13        ;NGC 6205 781                       ;*  ;16 41 45.70 +36 27 00.1                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
425 ;     63.75;m13        ;NGC 6205 656                       ;*  ;16 41 43.04 +36 28 42.2                ;     ~   ;     ~   ;14.61    ;     ~   ;     ~   ;~              ;   8;   0
426 ;     63.90;m13        ;NGC 6205 547                       ;*  ;16 41 41.08 +36 26 37.2                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
427 ;     63.92;m13        ;NGC 6205 829                       ;*  ;16 41 46.7612470104 +36 27 56.865857220;     ~   ;15.25    ;14.45    ;     ~   ;     ~   ;~              ;   2;   0
428 ;     64.33;m13        ;NGC 6205 712                       ;*  ;16 41 44.1218668080 +36 26 43.847366604;     ~   ;15.65    ;15.00    ;     ~   ;     ~   ;~              ;   2;   0
429 ;     64.51;m13        ;NGC 6205 793                       ;*  ;16 41 46.0104223584 +36 27 03.687197292;     ~   ;14.64    ;13.68    ;     ~   ;     ~   ;~              ;   4;   0
430 ;     64.65;m13        ;NGC 6205 685                       ;*  ;16 41 43.74 +36 26 41.3                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
431 ;     64.99;m13        ;NGC 6205 751                       ;*  ;16 41 45.11 +36 28 30.4                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
432 ;     65.13;m13        ;NGC 6205 329                       ;*  ;16 41 36.70 +36 28 07.2                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
433 ;     65.14;m13        ;Cl* NGC 6205 GBF 10857             ;*  ;16 41 39.89 +36 26 39.1                ;     ~   ;     ~   ;12.6     ;     ~   ;     ~   ;~              ;   3;   0
434 ;     65.45;m13        ;NGC 6205 417                       ;*  ;16 41 38.70 +36 26 45.7                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
435 ;     65.64;m13        ;NGC 6205 838                       ;*  ;16 41 47.04 +36 27 33.3                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
436 ;     65.86;m13        ;NGC 6205 559                       ;*  ;16 41 41.20 +36 28 46.4                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
437 ;     65.87;m13        ;NGC 6205 804                       ;*  ;16 41 46.16 +36 28 17.6                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
438 ;     65.89;m13        ;Gaia DR3 1328057974450501760       ;EB*;16 41 36.6657998890 +36 28 08.134788339;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
439 ;     66.20;m13        ;NGC 6205 654                       ;*  ;16 41 43.20 +36 26 37.3                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
440 ;     66.53;m13        ;Cl* NGC 6205 SAW V56               ;SX*;16 41 45.6375421080 +36 26 54.996978768;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
441 ;     66.61;m13        ;NGC 6205 470                       ;*  ;16 41 39.76 +36 26 38.1                ;     ~   ;     ~   ;12.7     ;     ~   ;     ~   ;~              ;   3;   0
442 ;     66.86;m13        ;NGC 6205 845                       ;RG*;16 41 47.1708648528 +36 27 43.760735208;     ~   ;13.87    ;12.53    ;     ~   ;     ~   ;~              ;  18;   0
443 ;     66.94;m13        ;NGC 6205 815                       ;*  ;16 41 46.45 +36 27 07.5                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
444 ;     66.95;m13        ;NGC 6205 673                       ;*  ;16 41 43.38 +36 28 44.3                ;     ~   ;     ~   ;13.17    ;     ~   ;     ~   ;~              ;   3;   0
445 ;     67.02;m13        ;[DAL2019] M13 C6                   ;V*?;16 41 39.730 +36 26 37.79              ;     ~   ;     ~   ;12.87    ;     ~   ;11.69    ;~              ;   1;   0
446 ;     67.47;m13        ;NGC 6205 844                       ;*  ;16 41 47.1777057432 +36 27 49.661980416;     ~   ;14.80    ;13.84    ;     ~   ;     ~   ;~              ;   4;   1
447 ;     67.63;m13        ;NGC 6205 841                       ;*  ;16 41 47.15 +36 27 28.7                ;     ~   ;14.67    ;13.78    ;     ~   ;     ~   ;~              ;   4;   0
448 ;     67.78;m13        ;NGC 6205 728                       ;*  ;16 41 44.68 +36 26 43.8                ;     ~   ;13.93    ;12.70    ;     ~   ;     ~   ;~              ;   9;   0
449 ;     68.03;m13        ;NGC 6205 308                       ;*  ;16 41 36.03 +36 27 33.2                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
450 ;     68.09;m13        ;NGC 6205 342                       ;*  ;16 41 37.10 +36 27 00.2                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
451 ;     68.27;m13        ;NGC 6205 801                       ;*  ;16 41 46.08 +36 28 23.0                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
452 ;     68.29;m13        ;NGC 6205 366                       ;*  ;16 41 37.67 +36 26 52.0                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
453 ;     68.29;m13        ;Cl* NGC 6205 GBF 10859             ;*  ;16 41 39.4 +36 26 38                   ;     ~   ;     ~   ;14.9     ;     ~   ;     ~   ;~              ;   2;   0
454 ;     68.40;m13        ;NGC 6205 304                       ;*  ;16 41 35.97 +36 27 37.7                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
455 ;     68.82;m13        ;NGC 6205 795                       ;*  ;16 41 46.03 +36 26 56.9                ;     ~   ;15.37    ;14.59    ;     ~   ;     ~   ;~              ;   2;   0
456 ;     68.97;m13        ;NGC 6205 736                       ;*  ;16 41 44.81 +36 28 38.1                ;     ~   ;14.91    ;13.88    ;     ~   ;     ~   ;~              ;   2;   0
457 ;     69.15;m13        ;NGC 6205 320                       ;*  ;16 41 36.41 +36 27 12.3                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
458 ;     69.21;m13        ;NGC 6205 388                       ;*  ;16 41 38.04 +36 28 34.7                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
459 ;     69.38;m13        ;NGC 6205 556                       ;RG*;16 41 41.1285926832 +36 28 49.857003552;     ~   ;14.78    ;13.76    ;     ~   ;     ~   ;~              ;  12;   0
460 ;     69.60;m13        ;Cl* NGC 6205 SAW V2                ;WV*;16 41 35.9002889688 +36 27 48.514286736;     ~   ;13.63    ;13.01    ;     ~   ;     ~   ;A8-F8          ;  34;   0
461 ;     69.80;m13        ;NGC 6205 851                       ;*  ;16 41 47.39 +36 27 33.7                ;     ~   ;15.63    ;14.75    ;     ~   ;     ~   ;~              ;   2;   0
462 ;     70.18;m13        ;NGC 6205 355                       ;*  ;16 41 37.41 +36 26 52.5                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
463 ;     70.22;m13        ;Cl* NGC 6205 BARN 58               ;*  ;16 41 35.82 +36 27 37.4                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
464 ;     70.33;m13        ;WVSC 16                            ;WV*;16 41 35.887 +36 27 52.55              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
465 ;     70.34;m13        ;NGC 6205 321                       ;*  ;16 41 36.44 +36 27 08.8                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
466 ;     70.47;m13        ;[SWL2011] X16                      ;X  ;16 41 39.393 +36 26 35.67              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
467 ;     70.65;m13        ;NGC 6205 842                       ;*  ;16 41 47.15 +36 28 04.5                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
468 ;     70.69;m13        ;NGC 6205 840                       ;*  ;16 41 47.0703980400 +36 27 14.382243756;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
469 ;     70.76;m13        ;NGC 6205 410                       ;*  ;16 41 38.39 +36 28 39.7                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
470 ;     70.82;m13        ;NGC 6205 632                       ;*  ;16 41 42.55 +36 28 50.7                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
471 ;     71.22;m13        ;2MASS J16414530+3626450            ;RG*;16 41 45.308 +36 26 45.01              ;     ~   ;14.65    ;13.84    ;     ~   ;     ~   ;~              ;   4;   0
472 ;     71.85;m13        ;NGC 6205 738                       ;*  ;16 41 44.84 +36 28 41.3                ;     ~   ;14.87    ;13.95    ;     ~   ;     ~   ;~              ;   1;   0
473 ;     72.08;m13        ;2MASS J16414664+3628203            ;AB*;16 41 46.6346814600 +36 28 20.200750356;     ~   ;13.76    ;12.78    ;     ~   ;     ~   ;~              ;  16;   0
474 ;     72.18;m13        ;NGC 6205 784                       ;*  ;16 41 45.71 +36 28 33.6                ;     ~   ;15.57    ;14.80    ;     ~   ;     ~   ;~              ;   2;   0
475 ;     72.23;m13        ;NGC 6205 720                       ;*  ;16 41 44.48 +36 26 37.2                ;     ~   ;     ~   ;13.2     ;     ~   ;     ~   ;~              ;   4;   0
476 ;     72.31;m13        ;NGC 6205 812                       ;*  ;16 41 46.40 +36 26 56.9                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
477 ;     72.34;m13        ;NGC 6205 737                       ;*  ;16 41 44.94 +36 26 40.4                ;     ~   ;15.49    ;14.69    ;     ~   ;     ~   ;~              ;   2;   0
478 ;     72.40;m13        ;NGC 6205 830                       ;RG*;16 41 46.7933487912 +36 27 03.777026652;     ~   ;13.93    ;12.68    ;     ~   ;     ~   ;~              ;  16;   0
479 ;     72.43;m13        ;NGC 6205 690                       ;*  ;16 41 43.7100116280 +36 28 48.715568508;     ~   ;15.61    ;14.82    ;     ~   ;     ~   ;~              ;   2;   0
480 ;     72.44;m13        ;NGC 6205 309                       ;*  ;16 41 35.97 +36 28 04.8                ;     ~   ;15.35    ;14.58    ;     ~   ;     ~   ;~              ;   2;   0
481 ;     72.44;m13        ;NGC 6205 293                       ;*  ;16 41 35.63 +36 27 39.8                ;     ~   ;15.46    ;14.72    ;     ~   ;     ~   ;~              ;   3;   0
482 ;     72.56;m13        ;NGC 6205 661                       ;*  ;16 41 43.17 +36 28 50.9                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
483 ;     72.91;m13        ;NGC 6205 457                       ;*  ;16 41 39.36 +36 28 48.3                ;     ~   ;15.34    ;14.55    ;     ~   ;     ~   ;~              ;   2;   0
484 ;     72.91;m13        ;NGC 6205 436                       ;RG*;16 41 39.0073073760 +36 26 35.083463892;     ~   ;14.28    ;13.43    ;     ~   ;     ~   ;~              ;  17;   0
485 ;     73.00;m13        ;NGC 6205 536                       ;*  ;16 41 40.77 +36 28 53.0                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
486 ;     73.03;m13        ;NGC 6205 301                       ;*  ;16 41 35.77 +36 27 58.9                ;     ~   ;15.08    ;14.47    ;     ~   ;     ~   ;~              ;   2;   0
487 ;     73.13;m13        ;NGC 6205 294                       ;*  ;16 41 35.6013103494 +36 27 33.543626169;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
488 ;     73.25;m13        ;NGC 6205 387                       ;*  ;16 41 38.03 +36 28 39.7                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
489 ;     73.36;m13        ;NGC 6205 628                       ;*  ;16 41 42.64 +36 26 28.4                ;     ~   ;     ~   ;13.2     ;     ~   ;     ~   ;~              ;   3;   0
490 ;     73.64;m13        ;NGC 6205 764                       ;*  ;16 41 45.39 +36 28 38.8                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
491 ;     74.24;m13        ;NGC 6205 864                       ;*  ;16 41 47.67 +36 27 55.2                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
492 ;     74.25;m13        ;NGC 6205 427                       ;*  ;16 41 38.79 +36 28 46.6                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
493 ;     74.47;m13        ;NGC 6205 287                       ;*  ;16 41 35.48 +36 27 46.6                ;     ~   ;15.08    ;14.17    ;     ~   ;     ~   ;~              ;   3;   0
494 ;     74.59;m13        ;NGC 6205 565                       ;*  ;16 41 41.43 +36 26 26.2                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
495 ;     74.63;m13        ;NGC 6205 698                       ;*  ;16 41 44.00 +36 26 31.8                ;     ~   ;15.69    ;14.95    ;     ~   ;     ~   ;~              ;   2;   0
496 ;     74.66;m13        ;Gaia DR3 1328057871371161856       ;EB*;16 41 35.4845039442 +36 27 32.324314823;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
497 ;     75.06;m13        ;Cl* NGC 6205 BARN 55               ;RG*;16 41 35.5110144199 +36 27 27.411645285;     ~   ;12.1     ;11.94    ;     ~   ;     ~   ;~              ;   8;   0
498 ;     75.39;m13        ;[SWL2011] X17                      ;X  ;16 41 39.950 +36 26 28.15              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
499 ;     75.75;m13        ;NGC 6205 292                       ;*  ;16 41 35.60 +36 27 19.8                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
500 ;     75.83;m13        ;NGC 6205 820                       ;*  ;16 41 46.64 +36 26 54.9                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
501 ;     75.94;m13        ;NGC 6205 666                       ;*  ;16 41 43.310 +36 26 27.55              ;     ~   ;     ~   ;12.73    ;     ~   ;     ~   ;~              ;   8;   0
502 ;     76.26;m13        ;NGC 6205 346                       ;*  ;16 41 37.079 +36 26 47.88              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   3;   0
503 ;     76.42;m13        ;NGC 6205 471                       ;*  ;16 41 39.80 +36 26 27.6                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
504 ;     76.45;m13        ;NGC 6205 299                       ;UV ;16 41 35.888 +36 28 12.99              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
505 ;     76.48;m13        ;Cl* NGC 6205 BARN 52               ;*  ;16 41 35.3647656519 +36 27 29.393484422;     ~   ;     ~   ;13.0     ;     ~   ;     ~   ;~              ;   2;   0
506 ;     76.57;m13        ;NGC 6205 1129                      ;*  ;16 41 38.22 +36 28 45.3                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
507 ;     76.88;m13        ;NGC 6205 662                       ;*  ;16 41 43.19 +36 28 55.3                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
508 ;     77.07;m13        ;NGC 6205 281                       ;*  ;16 41 35.25 +36 27 43.6                ;     ~   ;14.40    ;13.38    ;     ~   ;     ~   ;~              ;   5;   0
509 ;     77.27;m13        ;NGC 6205 405                       ;*  ;16 41 38.48 +36 26 33.5                ;     ~   ;15.60    ;14.88    ;     ~   ;     ~   ;~              ;   2;   0
510 ;     77.49;m13        ;NGC 6205 823                       ;*  ;16 41 46.68 +36 28 28.7                ;     ~   ;     ~   ;13.94    ;     ~   ;     ~   ;~              ;   2;   0
511 ;     77.65;m13        ;NGC 6205 377                       ;*  ;16 41 37.96 +36 26 37.0                ;     ~   ;     ~   ;16.15    ;     ~   ;     ~   ;~              ;   2;   0
512 ;     77.69;m13        ;NGC 6205 609                       ;*  ;16 41 42.2287116192 +36 26 23.396606412;     ~   ;14.95    ;13.96    ;     ~   ;     ~   ;~              ;   6;   1
513 ;     77.81;m13        ;NGC 6205 442                       ;*  ;16 41 39.06 +36 28 52.1                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
514 ;     77.90;m13        ;Cl* NGC 6205 SAW V36               ;*  ;16 41 43.45 +36 26 26.0                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   4;   0
515 ;     77.91;m13        ;[KGS2008] J164135.6+362713         ;RG*;16 41 35.6 +36 27 13                   ;     ~   ;17.37    ;16.79    ;     ~   ;15.97    ;~              ;   1;   0
516 ;     77.99;m13        ;NGC 6205 368                       ;*  ;16 41 37.59 +36 28 41.6                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
517 ;     78.21;m13        ;NGC 6205 732                       ;*  ;16 41 44.71 +36 28 49.6                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
518 ;     78.34;m13        ;NGC 6205 431                       ;*  ;16 41 38.81 +36 28 51.3                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
519 ;     78.64;m13        ;NGC 6205 311                       ;*  ;16 41 35.99 +36 28 20.1                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
520 ;     78.65;m13        ;NGC 6205 323                       ;*  ;16 41 36.5403288096 +36 26 51.660528720;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
521 ;     78.93;m13        ;NGC 6205 1125                      ;*  ;16 41 47.68 +36 27 10.6                ;     ~   ;14.77    ;13.96    ;     ~   ;     ~   ;~              ;   3;   0
522 ;     79.22;m13        ;NGC 6205 769                       ;*  ;16 41 45.61 +36 26 37.7                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
523 ;     79.37;m13        ;[DAL2019] M13 C15                  ;V*?;16 41 45.600 +36 26 37.42              ;     ~   ;     ~   ;15.10    ;     ~   ;15.01    ;~              ;   1;   0
524 ;     79.55;m13        ;NGC 6205 644                       ;*  ;16 41 42.7790229528 +36 28 59.092696380;     ~   ;     ~   ;13.18    ;     ~   ;     ~   ;~              ;   5;   0
525 ;     79.78;m13        ;NGC 6205 408                       ;*  ;16 41 38.50 +36 26 30.5                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
526 ;     80.03;m13        ;NGC 6205 843                       ;*  ;16 41 47.21 +36 26 57.4                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
527 ;     80.06;m13        ;NGC 6205 874                       ;*  ;16 41 48.12 +36 27 23.8                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
528 ;     80.15;m13        ;NGC 6205 270                       ;UV ;16 41 35.007 +36 27 35.09              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   2;   0
529 ;     80.27;m13        ;NGC 6205 273                       ;*  ;16 41 34.98 +36 27 40.5                ;     ~   ;15.50    ;14.69    ;     ~   ;     ~   ;~              ;   2;   0
530 ;     80.61;m13        ;NGC 6205 702                       ;*  ;16 41 43.92 +36 28 56.5                ;     ~   ;     ~   ;13.9     ;     ~   ;     ~   ;~              ;   3;   0
531 ;     80.89;m13        ;NGC 6205 847                       ;*  ;16 41 47.17 +36 28 26.4                ;     ~   ;15.03    ;14.01    ;     ~   ;     ~   ;~              ;   3;   0
532 ;     81.33;m13        ;NGC 6205 297                       ;*  ;16 41 35.73 +36 27 01.5                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
533 ;     81.45;m13        ;NGC 6205 269                       ;*  ;16 41 34.9360666056 +36 27 30.522081456;     ~   ;     ~   ;13.14    ;     ~   ;     ~   ;~              ;   7;   0
534 ;     81.51;m13        ;NGC 6205 386                       ;*  ;16 41 38.03 +36 28 49.7                ;     ~   ;14.83    ;14.12    ;     ~   ;     ~   ;~              ;   2;   0
535 ;     81.53;m13        ;NGC 6205 526                       ;HB*;16 41 40.6810778904 +36 26 20.032863828;     ~   ;14.21    ;13.82    ;     ~   ;     ~   ;~              ;  17;   0
536 ;     81.54;m13        ;[FLM96] M 13 F                     ;X  ;16 41 38.47 +36 26 28.7                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
537 ;     81.81;m13        ;NGC 6205 490                       ;*  ;16 41 39.92 +36 28 59.9                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
538 ;     81.97;m13        ;NGC 6205 602                       ;*  ;16 41 41.9418998424 +36 29 02.632601724;     ~   ;15.74    ;15.03    ;     ~   ;     ~   ;~              ;   2;   0
