C.D.S.  -  SIMBAD4 rel 1.8  -  2024.10.10CEST17:08:04

m13
---

Number of objects : 1909

 #  ;dist(asec);typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;  spec. type   ;#bib;#not
----;----------;-----------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------;----;----
33  ;      7.64;m13        ;[SWL2011] X1                       ;X  ;16 41 42.015 +36 27 34.65              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
34  ;      7.69;m13        ;[KWR2014] M13 53611                ;*  ;16 41 41.6869 +36 27 33.085            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
35  ;      8.14;m13        ;[KWR2014] M13 54239                ;*  ;16 41 41.5577 +36 27 32.660            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
36  ;      8.39;m13        ;[KWR2014] M13 97606                ;*  ;16 41 41.0523 +36 27 36.152            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
37  ;      8.51;m13        ;Cl* NGC 6205 CGY 6190              ;*  ;16 41 42.3187 +36 27 42.800            ;     ~   ;     ~   ;14.00    ;     ~   ;     ~   ;~              ;   2;   0
38  ;      8.52;m13        ;PSR J1641+3627B                    ;Psr;16 41 41.0 +36 27 37                   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;  27;   1
39  ;      8.52;m13        ;PSR J1641+3627E                    ;Psr;16 41 41.0 +36 27 37                   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;  12;   0
40  ;      8.52;m13        ;PSR J1641+3627C                    ;Psr;16 41 41.0 +36 27 37                   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;  11;   0
41  ;      8.52;m13        ;PSR J1641+3627D                    ;Psr;16 41 41.0 +36 27 37                   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;  13;   0
42  ;      8.64;m13        ;NGC 6205 546                       ;*  ;16 41 41.0695 +36 27 46.070            ;     ~   ;     ~   ;15.27    ;     ~   ;     ~   ;~              ;   2;   0
43  ;      8.81;m13        ;Cl* NGC 6205 CGY 6146              ;*  ;16 41 42.2541 +36 27 45.410            ;     ~   ;     ~   ;14.22    ;     ~   ;     ~   ;~              ;   2;   0
44  ;      8.91;m13        ;NGC 6205 539                       ;*  ;16 41 41.0140 +36 27 35.900            ;     ~   ;     ~   ;13.48    ;     ~   ;     ~   ;~              ;   3;   0
45  ;      9.12;m13        ;[KWR2014] M13 98047                ;*  ;16 41 40.8951 +36 27 42.674            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
46  ;      9.31;m13        ;[KWR2014] M13 56108                ;*  ;16 41 41.0123 +36 27 35.227            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
47  ;      9.41;m13        ;[KWR2014] M13 55771                ;*  ;16 41 41.1280 +36 27 33.592            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
48  ;      9.50;m13        ;[KWR2014] M13 55376                ;*  ;16 41 41.2498 +36 27 32.453            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
49  ;      9.56;m13        ;[KWR2014] M13 98003                ;*  ;16 41 40.8697 +36 27 38.218            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
50  ;      9.65;m13        ;[KWR2014] M13 55375                ;*  ;16 41 41.2199 +36 27 32.498            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
51  ;      9.90;m13        ;[KWR2014] M13 53254                ;*  ;16 41 41.8449 +36 27 31.181            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
